OBJ File,Collection,Source Set
FJ1672.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1673.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1673M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1682.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1682M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1692.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1692M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1693.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1693M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1694.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1694M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1700.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1700M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1701.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1701M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1702.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1702M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1703.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1703M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1704.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1704M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1705.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1705M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1706.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1706M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1707.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1707M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1708.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1708M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1709.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1709M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1710.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1710M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1711.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1711M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1714.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1714M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1715.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1715M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1717.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1717M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1718.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1718M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1721.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1721M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1723.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1723M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1725.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1725M.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ1729.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1729M.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ1760.obj,Brain,partof_BP3D_4.0_obj_99
FJ1769.obj,Brain,partof_BP3D_4.0_obj_99
FJ1770.obj,Brain,partof_BP3D_4.0_obj_99
FJ1772.obj,Nerves,isa_BP3D_4.0_obj_99
FJ1774.obj,Brain,isa_BP3D_4.0_obj_99
FJ1775.obj,Brain,partof_BP3D_4.0_obj_99
FJ1777.obj,Brain,isa_BP3D_4.0_obj_99
FJ1781.obj,Brain,partof_BP3D_4.0_obj_99
FJ1782.obj,Brain,isa_BP3D_4.0_obj_99
FJ1796.obj,Brain,partof_BP3D_4.0_obj_99
FJ1808.obj,Brain,partof_BP3D_4.0_obj_99
FJ1817.obj,Brain,partof_BP3D_4.0_obj_99
FJ1819.obj,Nerves,isa_BP3D_4.0_obj_99
FJ1821.obj,Brain,isa_BP3D_4.0_obj_99
FJ1822.obj,Brain,partof_BP3D_4.0_obj_99
FJ1824.obj,Brain,isa_BP3D_4.0_obj_99
FJ1827.obj,Brain,isa_BP3D_4.0_obj_99
FJ1830.obj,Brain,partof_BP3D_4.0_obj_99
FJ1831.obj,Brain,partof_BP3D_4.0_obj_99
FJ1844.obj,BloodVessels,partof_BP3D_4.0_obj_99
FJ3161.obj,Bones,partof_BP3D_4.0_obj_99
FJ3164.obj,Bones,partof_BP3D_4.0_obj_99
FJ3167.obj,Bones,partof_BP3D_4.0_obj_99
FJ3170.obj,Bones,partof_BP3D_4.0_obj_99
FJ3172.obj,Bones,partof_BP3D_4.0_obj_99
FJ3176.obj,Bones,partof_BP3D_4.0_obj_99
FJ3177.obj,Bones,partof_BP3D_4.0_obj_99
FJ3200.obj,Bones,partof_BP3D_4.0_obj_99
FJ3202.obj,Others,partof_BP3D_4.0_obj_99
FJ3203.obj,Others,partof_BP3D_4.0_obj_99
FJ3204.obj,Others,partof_BP3D_4.0_obj_99
FJ3205.obj,Others,partof_BP3D_4.0_obj_99
FJ3206.obj,Others,partof_BP3D_4.0_obj_99
FJ3207.obj,Others,partof_BP3D_4.0_obj_99
FJ3208.obj,Others,partof_BP3D_4.0_obj_99
FJ3209.obj,Others,partof_BP3D_4.0_obj_99
FJ3210.obj,Others,partof_BP3D_4.0_obj_99
FJ3212.obj,Others,partof_BP3D_4.0_obj_99
FJ3213.obj,Others,partof_BP3D_4.0_obj_99
FJ3214.obj,Others,partof_BP3D_4.0_obj_99
FJ3215.obj,Others,partof_BP3D_4.0_obj_99
FJ3216.obj,Others,partof_BP3D_4.0_obj_99
FJ3217.obj,Others,partof_BP3D_4.0_obj_99
FJ3218.obj,Others,partof_BP3D_4.0_obj_99
FJ3219.obj,Others,partof_BP3D_4.0_obj_99
FJ3220.obj,Others,partof_BP3D_4.0_obj_99
FJ3221.obj,Others,partof_BP3D_4.0_obj_99
FJ3222.obj,Others,partof_BP3D_4.0_obj_99
FJ3223.obj,Others,partof_BP3D_4.0_obj_99
FJ3224.obj,Others,partof_BP3D_4.0_obj_99
FJ3274.obj,Bones,partof_BP3D_4.0_obj_99
FJ3281.obj,Bones,partof_BP3D_4.0_obj_99
FJ3289.obj,Bones,partof_BP3D_4.0_obj_99
FJ3309.obj,Bones,partof_BP3D_4.0_obj_99
FJ3380.obj,Bones,partof_BP3D_4.0_obj_99
FJ3386.obj,Bones,partof_BP3D_4.0_obj_99
FJ3394.obj,Bones,partof_BP3D_4.0_obj_99
FJ3485.obj,BloodVessels,isa_BP3D_4.0_obj_99
FJ3585.obj,BloodVessels,partof_BP3D_4.0_obj_99
